Year,Lg,Tm,Abr
1921,APFA,Akron Pros,akr
1920,APFA,Akron Pros,akr
2015,NFL,Kansas City Chiefs,kan
2014,NFL,Kansas City Chiefs,kan
2013,NFL,Kansas City Chiefs,kan
2012,NFL,Kansas City Chiefs,kan
2011,NFL,Kansas City Chiefs,kan
2010,NFL,Kansas City Chiefs,kan
2009,NFL,Kansas City Chiefs,kan
2008,NFL,Kansas City Chiefs,kan
2007,NFL,Kansas City Chiefs,kan
2006,NFL,Kansas City Chiefs,kan
2005,NFL,Kansas City Chiefs,kan
2004,NFL,Kansas City Chiefs,kan
2003,NFL,Kansas City Chiefs,kan
2002,NFL,Kansas City Chiefs,kan
2001,NFL,Kansas City Chiefs,kan
2000,NFL,Kansas City Chiefs,kan
1999,NFL,Kansas City Chiefs,kan
1998,NFL,Kansas City Chiefs,kan
1997,NFL,Kansas City Chiefs,kan
1996,NFL,Kansas City Chiefs,kan
1995,NFL,Kansas City Chiefs,kan
1994,NFL,Kansas City Chiefs,kan
1993,NFL,Kansas City Chiefs,kan
1992,NFL,Kansas City Chiefs,kan
1991,NFL,Kansas City Chiefs,kan
1990,NFL,Kansas City Chiefs,kan
1989,NFL,Kansas City Chiefs,kan
1988,NFL,Kansas City Chiefs,kan
1987,NFL,Kansas City Chiefs,kan
1986,NFL,Kansas City Chiefs,kan
1985,NFL,Kansas City Chiefs,kan
1984,NFL,Kansas City Chiefs,kan
1983,NFL,Kansas City Chiefs,kan
1982,NFL,Kansas City Chiefs,kan
1981,NFL,Kansas City Chiefs,kan
1980,NFL,Kansas City Chiefs,kan
1979,NFL,Kansas City Chiefs,kan
1978,NFL,Kansas City Chiefs,kan
1977,NFL,Kansas City Chiefs,kan
1976,NFL,Kansas City Chiefs,kan
1975,NFL,Kansas City Chiefs,kan
1974,NFL,Kansas City Chiefs,kan
1973,NFL,Kansas City Chiefs,kan
1972,NFL,Kansas City Chiefs,kan
1971,NFL,Kansas City Chiefs,kan
1970,NFL,Kansas City Chiefs,kan
1969,AFL,Kansas City Chiefs,kan
1968,AFL,Kansas City Chiefs,kan
1967,AFL,Kansas City Chiefs,kan
1966,AFL,Kansas City Chiefs,kan
1965,AFL,Kansas City Chiefs,kan
1964,AFL,Kansas City Chiefs,kan
1963,AFL,Kansas City Chiefs,kan
1962,AFL,Dallas Texans,kan
1961,AFL,Dallas Texans,kan
1960,AFL,Dallas Texans,kan
1921,APFA,Muncie Flyers,mun
1920,APFA,Muncie Flyers,mun
2015,NFL,Tampa Bay Buccaneers,tam
2014,NFL,Tampa Bay Buccaneers,tam
2013,NFL,Tampa Bay Buccaneers,tam
2012,NFL,Tampa Bay Buccaneers,tam
2011,NFL,Tampa Bay Buccaneers,tam
2010,NFL,Tampa Bay Buccaneers,tam
2009,NFL,Tampa Bay Buccaneers,tam
2008,NFL,Tampa Bay Buccaneers,tam
2007,NFL,Tampa Bay Buccaneers,tam
2006,NFL,Tampa Bay Buccaneers,tam
2005,NFL,Tampa Bay Buccaneers,tam
2004,NFL,Tampa Bay Buccaneers,tam
2003,NFL,Tampa Bay Buccaneers,tam
2002,NFL,Tampa Bay Buccaneers,tam
2001,NFL,Tampa Bay Buccaneers,tam
2000,NFL,Tampa Bay Buccaneers,tam
1999,NFL,Tampa Bay Buccaneers,tam
1998,NFL,Tampa Bay Buccaneers,tam
1997,NFL,Tampa Bay Buccaneers,tam
1996,NFL,Tampa Bay Buccaneers,tam
1995,NFL,Tampa Bay Buccaneers,tam
1994,NFL,Tampa Bay Buccaneers,tam
1993,NFL,Tampa Bay Buccaneers,tam
1992,NFL,Tampa Bay Buccaneers,tam
1991,NFL,Tampa Bay Buccaneers,tam
1990,NFL,Tampa Bay Buccaneers,tam
1989,NFL,Tampa Bay Buccaneers,tam
1988,NFL,Tampa Bay Buccaneers,tam
1987,NFL,Tampa Bay Buccaneers,tam
1986,NFL,Tampa Bay Buccaneers,tam
1985,NFL,Tampa Bay Buccaneers,tam
1984,NFL,Tampa Bay Buccaneers,tam
1983,NFL,Tampa Bay Buccaneers,tam
1982,NFL,Tampa Bay Buccaneers,tam
1981,NFL,Tampa Bay Buccaneers,tam
1980,NFL,Tampa Bay Buccaneers,tam
1979,NFL,Tampa Bay Buccaneers,tam
1978,NFL,Tampa Bay Buccaneers,tam
1977,NFL,Tampa Bay Buccaneers,tam
1976,NFL,Tampa Bay Buccaneers,tam
1931,NFL,Cleveland Indians,cli
2015,NFL,New York Giants,nyg
2014,NFL,New York Giants,nyg
2013,NFL,New York Giants,nyg
2012,NFL,New York Giants,nyg
2011,NFL,New York Giants,nyg
2010,NFL,New York Giants,nyg
2009,NFL,New York Giants,nyg
2008,NFL,New York Giants,nyg
2007,NFL,New York Giants,nyg
2006,NFL,New York Giants,nyg
2005,NFL,New York Giants,nyg
2004,NFL,New York Giants,nyg
2003,NFL,New York Giants,nyg
2002,NFL,New York Giants,nyg
2001,NFL,New York Giants,nyg
2000,NFL,New York Giants,nyg
1999,NFL,New York Giants,nyg
1998,NFL,New York Giants,nyg
1997,NFL,New York Giants,nyg
1996,NFL,New York Giants,nyg
1995,NFL,New York Giants,nyg
1994,NFL,New York Giants,nyg
1993,NFL,New York Giants,nyg
1992,NFL,New York Giants,nyg
1991,NFL,New York Giants,nyg
1990,NFL,New York Giants,nyg
1989,NFL,New York Giants,nyg
1988,NFL,New York Giants,nyg
1987,NFL,New York Giants,nyg
1986,NFL,New York Giants,nyg
1985,NFL,New York Giants,nyg
1984,NFL,New York Giants,nyg
1983,NFL,New York Giants,nyg
1982,NFL,New York Giants,nyg
1981,NFL,New York Giants,nyg
1980,NFL,New York Giants,nyg
1979,NFL,New York Giants,nyg
1978,NFL,New York Giants,nyg
1977,NFL,New York Giants,nyg
1976,NFL,New York Giants,nyg
1975,NFL,New York Giants,nyg
1974,NFL,New York Giants,nyg
1973,NFL,New York Giants,nyg
1972,NFL,New York Giants,nyg
1971,NFL,New York Giants,nyg
1970,NFL,New York Giants,nyg
1969,NFL,New York Giants,nyg
1968,NFL,New York Giants,nyg
1967,NFL,New York Giants,nyg
1966,NFL,New York Giants,nyg
1965,NFL,New York Giants,nyg
1964,NFL,New York Giants,nyg
1963,NFL,New York Giants,nyg
1962,NFL,New York Giants,nyg
1961,NFL,New York Giants,nyg
1960,NFL,New York Giants,nyg
1959,NFL,New York Giants,nyg
1958,NFL,New York Giants,nyg
1957,NFL,New York Giants,nyg
1956,NFL,New York Giants,nyg
1955,NFL,New York Giants,nyg
1954,NFL,New York Giants,nyg
1953,NFL,New York Giants,nyg
1952,NFL,New York Giants,nyg
1951,NFL,New York Giants,nyg
1950,NFL,New York Giants,nyg
1949,NFL,New York Giants,nyg
1948,NFL,New York Giants,nyg
1947,NFL,New York Giants,nyg
1946,NFL,New York Giants,nyg
1945,NFL,New York Giants,nyg
1944,NFL,New York Giants,nyg
1943,NFL,New York Giants,nyg
1942,NFL,New York Giants,nyg
1941,NFL,New York Giants,nyg
1940,NFL,New York Giants,nyg
1939,NFL,New York Giants,nyg
1938,NFL,New York Giants,nyg
1937,NFL,New York Giants,nyg
1936,NFL,New York Giants,nyg
1935,NFL,New York Giants,nyg
1934,NFL,New York Giants,nyg
1933,NFL,New York Giants,nyg
1932,NFL,New York Giants,nyg
1931,NFL,New York Giants,nyg
1930,NFL,New York Giants,nyg
1929,NFL,New York Giants,nyg
1928,NFL,New York Giants,nyg
1927,NFL,New York Giants,nyg
1926,NFL,New York Giants,nyg
1925,NFL,New York Giants,nyg
1928,NFL,New York Yankees,nya
1927,NFL,New York Yankees,nya
1949,AAFC,New York Yankees,naa
1948,AAFC,New York Yankees,naa
1947,AAFC,New York Yankees,naa
1946,AAFC,New York Yankees,naa
1924,NFL,Kenosha Maroons,ken
1928,NFL,Detroit Wolverines,dwl
2015,NFL,Miami Dolphins,mia
2014,NFL,Miami Dolphins,mia
2013,NFL,Miami Dolphins,mia
2012,NFL,Miami Dolphins,mia
2011,NFL,Miami Dolphins,mia
2010,NFL,Miami Dolphins,mia
2009,NFL,Miami Dolphins,mia
2008,NFL,Miami Dolphins,mia
2007,NFL,Miami Dolphins,mia
2006,NFL,Miami Dolphins,mia
2005,NFL,Miami Dolphins,mia
2004,NFL,Miami Dolphins,mia
2003,NFL,Miami Dolphins,mia
2002,NFL,Miami Dolphins,mia
2001,NFL,Miami Dolphins,mia
2000,NFL,Miami Dolphins,mia
1999,NFL,Miami Dolphins,mia
1998,NFL,Miami Dolphins,mia
1997,NFL,Miami Dolphins,mia
1996,NFL,Miami Dolphins,mia
1995,NFL,Miami Dolphins,mia
1994,NFL,Miami Dolphins,mia
1993,NFL,Miami Dolphins,mia
1992,NFL,Miami Dolphins,mia
1991,NFL,Miami Dolphins,mia
1990,NFL,Miami Dolphins,mia
1989,NFL,Miami Dolphins,mia
1988,NFL,Miami Dolphins,mia
1987,NFL,Miami Dolphins,mia
1986,NFL,Miami Dolphins,mia
1985,NFL,Miami Dolphins,mia
1984,NFL,Miami Dolphins,mia
1983,NFL,Miami Dolphins,mia
1982,NFL,Miami Dolphins,mia
1981,NFL,Miami Dolphins,mia
1980,NFL,Miami Dolphins,mia
1979,NFL,Miami Dolphins,mia
1978,NFL,Miami Dolphins,mia
1977,NFL,Miami Dolphins,mia
1976,NFL,Miami Dolphins,mia
1975,NFL,Miami Dolphins,mia
1974,NFL,Miami Dolphins,mia
1973,NFL,Miami Dolphins,mia
1972,NFL,Miami Dolphins,mia
1971,NFL,Miami Dolphins,mia
1970,NFL,Miami Dolphins,mia
1969,AFL,Miami Dolphins,mia
1968,AFL,Miami Dolphins,mia
1967,AFL,Miami Dolphins,mia
1966,AFL,Miami Dolphins,mia
2015,NFL,St. Louis Rams,ram
2014,NFL,St. Louis Rams,ram
2013,NFL,St. Louis Rams,ram
2012,NFL,St. Louis Rams,ram
2011,NFL,St. Louis Rams,ram
2010,NFL,St. Louis Rams,ram
2009,NFL,St. Louis Rams,ram
2008,NFL,St. Louis Rams,ram
2007,NFL,St. Louis Rams,ram
2006,NFL,St. Louis Rams,ram
2005,NFL,St. Louis Rams,ram
2004,NFL,St. Louis Rams,ram
2003,NFL,St. Louis Rams,ram
2002,NFL,St. Louis Rams,ram
2001,NFL,St. Louis Rams,ram
2000,NFL,St. Louis Rams,ram
1999,NFL,St. Louis Rams,ram
1998,NFL,St. Louis Rams,ram
1997,NFL,St. Louis Rams,ram
1996,NFL,St. Louis Rams,ram
1995,NFL,St. Louis Rams,ram
1994,NFL,Los Angeles Rams,ram
1993,NFL,Los Angeles Rams,ram
1992,NFL,Los Angeles Rams,ram
1991,NFL,Los Angeles Rams,ram
1990,NFL,Los Angeles Rams,ram
1989,NFL,Los Angeles Rams,ram
1988,NFL,Los Angeles Rams,ram
1987,NFL,Los Angeles Rams,ram
1986,NFL,Los Angeles Rams,ram
1985,NFL,Los Angeles Rams,ram
1984,NFL,Los Angeles Rams,ram
1983,NFL,Los Angeles Rams,ram
1982,NFL,Los Angeles Rams,ram
1981,NFL,Los Angeles Rams,ram
1980,NFL,Los Angeles Rams,ram
1979,NFL,Los Angeles Rams,ram
1978,NFL,Los Angeles Rams,ram
1977,NFL,Los Angeles Rams,ram
1976,NFL,Los Angeles Rams,ram
1975,NFL,Los Angeles Rams,ram
1974,NFL,Los Angeles Rams,ram
1973,NFL,Los Angeles Rams,ram
1972,NFL,Los Angeles Rams,ram
1971,NFL,Los Angeles Rams,ram
1970,NFL,Los Angeles Rams,ram
1969,NFL,Los Angeles Rams,ram
1968,NFL,Los Angeles Rams,ram
1967,NFL,Los Angeles Rams,ram
1966,NFL,Los Angeles Rams,ram
1965,NFL,Los Angeles Rams,ram
1964,NFL,Los Angeles Rams,ram
1963,NFL,Los Angeles Rams,ram
1962,NFL,Los Angeles Rams,ram
1961,NFL,Los Angeles Rams,ram
1960,NFL,Los Angeles Rams,ram
1959,NFL,Los Angeles Rams,ram
1958,NFL,Los Angeles Rams,ram
1957,NFL,Los Angeles Rams,ram
1956,NFL,Los Angeles Rams,ram
1955,NFL,Los Angeles Rams,ram
1954,NFL,Los Angeles Rams,ram
1953,NFL,Los Angeles Rams,ram
1952,NFL,Los Angeles Rams,ram
1951,NFL,Los Angeles Rams,ram
1950,NFL,Los Angeles Rams,ram
1949,NFL,Los Angeles Rams,ram
1948,NFL,Los Angeles Rams,ram
1947,NFL,Los Angeles Rams,ram
1946,NFL,Los Angeles Rams,ram
1945,NFL,Cleveland Rams,ram
1944,NFL,Cleveland Rams,ram
1942,NFL,Cleveland Rams,ram
1941,NFL,Cleveland Rams,ram
1940,NFL,Cleveland Rams,ram
1939,NFL,Cleveland Rams,ram
1938,NFL,Cleveland Rams,ram
1937,NFL,Cleveland Rams,ram
2015,NFL,Chicago Bears,chi
2014,NFL,Chicago Bears,chi
2013,NFL,Chicago Bears,chi
2012,NFL,Chicago Bears,chi
2011,NFL,Chicago Bears,chi
2010,NFL,Chicago Bears,chi
2009,NFL,Chicago Bears,chi
2008,NFL,Chicago Bears,chi
2007,NFL,Chicago Bears,chi
2006,NFL,Chicago Bears,chi
2005,NFL,Chicago Bears,chi
2004,NFL,Chicago Bears,chi
2003,NFL,Chicago Bears,chi
2002,NFL,Chicago Bears,chi
2001,NFL,Chicago Bears,chi
2000,NFL,Chicago Bears,chi
1999,NFL,Chicago Bears,chi
1998,NFL,Chicago Bears,chi
1997,NFL,Chicago Bears,chi
1996,NFL,Chicago Bears,chi
1995,NFL,Chicago Bears,chi
1994,NFL,Chicago Bears,chi
1993,NFL,Chicago Bears,chi
1992,NFL,Chicago Bears,chi
1991,NFL,Chicago Bears,chi
1990,NFL,Chicago Bears,chi
1989,NFL,Chicago Bears,chi
1988,NFL,Chicago Bears,chi
1987,NFL,Chicago Bears,chi
1986,NFL,Chicago Bears,chi
1985,NFL,Chicago Bears,chi
1984,NFL,Chicago Bears,chi
1983,NFL,Chicago Bears,chi
1982,NFL,Chicago Bears,chi
1981,NFL,Chicago Bears,chi
1980,NFL,Chicago Bears,chi
1979,NFL,Chicago Bears,chi
1978,NFL,Chicago Bears,chi
1977,NFL,Chicago Bears,chi
1976,NFL,Chicago Bears,chi
1975,NFL,Chicago Bears,chi
1974,NFL,Chicago Bears,chi
1973,NFL,Chicago Bears,chi
1972,NFL,Chicago Bears,chi
1971,NFL,Chicago Bears,chi
1970,NFL,Chicago Bears,chi
1969,NFL,Chicago Bears,chi
1968,NFL,Chicago Bears,chi
1967,NFL,Chicago Bears,chi
1966,NFL,Chicago Bears,chi
1965,NFL,Chicago Bears,chi
1964,NFL,Chicago Bears,chi
1963,NFL,Chicago Bears,chi
1962,NFL,Chicago Bears,chi
1961,NFL,Chicago Bears,chi
1960,NFL,Chicago Bears,chi
1959,NFL,Chicago Bears,chi
1958,NFL,Chicago Bears,chi
1957,NFL,Chicago Bears,chi
1956,NFL,Chicago Bears,chi
1955,NFL,Chicago Bears,chi
1954,NFL,Chicago Bears,chi
1953,NFL,Chicago Bears,chi
1952,NFL,Chicago Bears,chi
1951,NFL,Chicago Bears,chi
1950,NFL,Chicago Bears,chi
1949,NFL,Chicago Bears,chi
1948,NFL,Chicago Bears,chi
1947,NFL,Chicago Bears,chi
1946,NFL,Chicago Bears,chi
1945,NFL,Chicago Bears,chi
1944,NFL,Chicago Bears,chi
1943,NFL,Chicago Bears,chi
1942,NFL,Chicago Bears,chi
1941,NFL,Chicago Bears,chi
1940,NFL,Chicago Bears,chi
1939,NFL,Chicago Bears,chi
1938,NFL,Chicago Bears,chi
1937,NFL,Chicago Bears,chi
1936,NFL,Chicago Bears,chi
1935,NFL,Chicago Bears,chi
1934,NFL,Chicago Bears,chi
1933,NFL,Chicago Bears,chi
1932,NFL,Chicago Bears,chi
1931,NFL,Chicago Bears,chi
1930,NFL,Chicago Bears,chi
1929,NFL,Chicago Bears,chi
1928,NFL,Chicago Bears,chi
1927,NFL,Chicago Bears,chi
1926,NFL,Chicago Bears,chi
1925,NFL,Chicago Bears,chi
1924,NFL,Chicago Bears,chi
1923,NFL,Chicago Bears,chi
1922,NFL,Chicago Bears,chi
1921,APFA,Chicago Staleys,chi
1920,APFA,Decatur Staleys,chi
2015,NFL,Oakland Raiders,rai
2014,NFL,Oakland Raiders,rai
2013,NFL,Oakland Raiders,rai
2012,NFL,Oakland Raiders,rai
2011,NFL,Oakland Raiders,rai
2010,NFL,Oakland Raiders,rai
2009,NFL,Oakland Raiders,rai
2008,NFL,Oakland Raiders,rai
2007,NFL,Oakland Raiders,rai
2006,NFL,Oakland Raiders,rai
2005,NFL,Oakland Raiders,rai
2004,NFL,Oakland Raiders,rai
2003,NFL,Oakland Raiders,rai
2002,NFL,Oakland Raiders,rai
2001,NFL,Oakland Raiders,rai
2000,NFL,Oakland Raiders,rai
1999,NFL,Oakland Raiders,rai
1998,NFL,Oakland Raiders,rai
1997,NFL,Oakland Raiders,rai
1996,NFL,Oakland Raiders,rai
1995,NFL,Oakland Raiders,rai
1994,NFL,Los Angeles Raiders,rai
1993,NFL,Los Angeles Raiders,rai
1992,NFL,Los Angeles Raiders,rai
1991,NFL,Los Angeles Raiders,rai
1990,NFL,Los Angeles Raiders,rai
1989,NFL,Los Angeles Raiders,rai
1988,NFL,Los Angeles Raiders,rai
1987,NFL,Los Angeles Raiders,rai
1986,NFL,Los Angeles Raiders,rai
1985,NFL,Los Angeles Raiders,rai
1984,NFL,Los Angeles Raiders,rai
1983,NFL,Los Angeles Raiders,rai
1982,NFL,Los Angeles Raiders,rai
1981,NFL,Oakland Raiders,rai
1980,NFL,Oakland Raiders,rai
1979,NFL,Oakland Raiders,rai
1978,NFL,Oakland Raiders,rai
1977,NFL,Oakland Raiders,rai
1976,NFL,Oakland Raiders,rai
1975,NFL,Oakland Raiders,rai
1974,NFL,Oakland Raiders,rai
1973,NFL,Oakland Raiders,rai
1972,NFL,Oakland Raiders,rai
1971,NFL,Oakland Raiders,rai
1970,NFL,Oakland Raiders,rai
1969,AFL,Oakland Raiders,rai
1968,AFL,Oakland Raiders,rai
1967,AFL,Oakland Raiders,rai
1966,AFL,Oakland Raiders,rai
1965,AFL,Oakland Raiders,rai
1964,AFL,Oakland Raiders,rai
1963,AFL,Oakland Raiders,rai
1962,AFL,Oakland Raiders,rai
1961,AFL,Oakland Raiders,rai
1960,AFL,Oakland Raiders,rai
2015,NFL,Philadelphia Eagles,phi
2014,NFL,Philadelphia Eagles,phi
2013,NFL,Philadelphia Eagles,phi
2012,NFL,Philadelphia Eagles,phi
2011,NFL,Philadelphia Eagles,phi
2010,NFL,Philadelphia Eagles,phi
2009,NFL,Philadelphia Eagles,phi
2008,NFL,Philadelphia Eagles,phi
2007,NFL,Philadelphia Eagles,phi
2006,NFL,Philadelphia Eagles,phi
2005,NFL,Philadelphia Eagles,phi
2004,NFL,Philadelphia Eagles,phi
2003,NFL,Philadelphia Eagles,phi
2002,NFL,Philadelphia Eagles,phi
2001,NFL,Philadelphia Eagles,phi
2000,NFL,Philadelphia Eagles,phi
1999,NFL,Philadelphia Eagles,phi
1998,NFL,Philadelphia Eagles,phi
1997,NFL,Philadelphia Eagles,phi
1996,NFL,Philadelphia Eagles,phi
1995,NFL,Philadelphia Eagles,phi
1994,NFL,Philadelphia Eagles,phi
1993,NFL,Philadelphia Eagles,phi
1992,NFL,Philadelphia Eagles,phi
1991,NFL,Philadelphia Eagles,phi
1990,NFL,Philadelphia Eagles,phi
1989,NFL,Philadelphia Eagles,phi
1988,NFL,Philadelphia Eagles,phi
1987,NFL,Philadelphia Eagles,phi
1986,NFL,Philadelphia Eagles,phi
1985,NFL,Philadelphia Eagles,phi
1984,NFL,Philadelphia Eagles,phi
1983,NFL,Philadelphia Eagles,phi
1982,NFL,Philadelphia Eagles,phi
1981,NFL,Philadelphia Eagles,phi
1980,NFL,Philadelphia Eagles,phi
1979,NFL,Philadelphia Eagles,phi
1978,NFL,Philadelphia Eagles,phi
1977,NFL,Philadelphia Eagles,phi
1976,NFL,Philadelphia Eagles,phi
1975,NFL,Philadelphia Eagles,phi
1974,NFL,Philadelphia Eagles,phi
1973,NFL,Philadelphia Eagles,phi
1972,NFL,Philadelphia Eagles,phi
1971,NFL,Philadelphia Eagles,phi
1970,NFL,Philadelphia Eagles,phi
1969,NFL,Philadelphia Eagles,phi
1968,NFL,Philadelphia Eagles,phi
1967,NFL,Philadelphia Eagles,phi
1966,NFL,Philadelphia Eagles,phi
1965,NFL,Philadelphia Eagles,phi
1964,NFL,Philadelphia Eagles,phi
1963,NFL,Philadelphia Eagles,phi
1962,NFL,Philadelphia Eagles,phi
1961,NFL,Philadelphia Eagles,phi
1960,NFL,Philadelphia Eagles,phi
1959,NFL,Philadelphia Eagles,phi
1958,NFL,Philadelphia Eagles,phi
1957,NFL,Philadelphia Eagles,phi
1956,NFL,Philadelphia Eagles,phi
1955,NFL,Philadelphia Eagles,phi
1954,NFL,Philadelphia Eagles,phi
1953,NFL,Philadelphia Eagles,phi
1952,NFL,Philadelphia Eagles,phi
1951,NFL,Philadelphia Eagles,phi
1950,NFL,Philadelphia Eagles,phi
1949,NFL,Philadelphia Eagles,phi
1948,NFL,Philadelphia Eagles,phi
1947,NFL,Philadelphia Eagles,phi
1946,NFL,Philadelphia Eagles,phi
1945,NFL,Philadelphia Eagles,phi
1944,NFL,Philadelphia Eagles,phi
1943,NFL,Phi/Pit Eagles/Steelers,phi
1942,NFL,Philadelphia Eagles,phi
1941,NFL,Philadelphia Eagles,phi
1940,NFL,Philadelphia Eagles,phi
1939,NFL,Philadelphia Eagles,phi
1938,NFL,Philadelphia Eagles,phi
1937,NFL,Philadelphia Eagles,phi
1936,NFL,Philadelphia Eagles,phi
1935,NFL,Philadelphia Eagles,phi
1934,NFL,Philadelphia Eagles,phi
1933,NFL,Philadelphia Eagles,phi
1926,NFL,Hammond Pros,ham
1925,NFL,Hammond Pros,ham
1924,NFL,Hammond Pros,ham
1923,NFL,Hammond Pros,ham
1922,NFL,Hammond Pros,ham
1921,APFA,Hammond Pros,ham
1920,APFA,Hammond Pros,ham
1927,NFL,Duluth Eskimos,dul
1926,NFL,Duluth Eskimos,dul
1925,NFL,Duluth Kelleys,dul
1924,NFL,Duluth Kelleys,dul
1923,NFL,Duluth Kelleys,dul
1944,NFL,Brooklyn Tigers,bkn
1943,NFL,Brooklyn Dodgers,bkn
1942,NFL,Brooklyn Dodgers,bkn
1941,NFL,Brooklyn Dodgers,bkn
1940,NFL,Brooklyn Dodgers,bkn
1939,NFL,Brooklyn Dodgers,bkn
1938,NFL,Brooklyn Dodgers,bkn
1937,NFL,Brooklyn Dodgers,bkn
1936,NFL,Brooklyn Dodgers,bkn
1935,NFL,Brooklyn Dodgers,bkn
1934,NFL,Brooklyn Dodgers,bkn
1933,NFL,Brooklyn Dodgers,bkn
1932,NFL,Brooklyn Dodgers,bkn
1931,NFL,Brooklyn Dodgers,bkn
1930,NFL,Brooklyn Dodgers,bkn
1925,NFL,Rochester Jeffersons,rch
1924,NFL,Rochester Jeffersons,rch
1923,NFL,Rochester Jeffersons,rch
1922,NFL,Rochester Jeffersons,rch
1921,APFA,Rochester Jeffersons,rch
1920,APFA,Rochester Jeffersons,rch
1946,AAFC,Miami Seahawks,msa
2015,NFL,New England Patriots,nwe
2014,NFL,New England Patriots,nwe
2013,NFL,New England Patriots,nwe
2012,NFL,New England Patriots,nwe
2011,NFL,New England Patriots,nwe
2010,NFL,New England Patriots,nwe
2009,NFL,New England Patriots,nwe
2008,NFL,New England Patriots,nwe
2007,NFL,New England Patriots,nwe
2006,NFL,New England Patriots,nwe
2005,NFL,New England Patriots,nwe
2004,NFL,New England Patriots,nwe
2003,NFL,New England Patriots,nwe
2002,NFL,New England Patriots,nwe
2001,NFL,New England Patriots,nwe
2000,NFL,New England Patriots,nwe
1999,NFL,New England Patriots,nwe
1998,NFL,New England Patriots,nwe
1997,NFL,New England Patriots,nwe
1996,NFL,New England Patriots,nwe
1995,NFL,New England Patriots,nwe
1994,NFL,New England Patriots,nwe
1993,NFL,New England Patriots,nwe
1992,NFL,New England Patriots,nwe
1991,NFL,New England Patriots,nwe
1990,NFL,New England Patriots,nwe
1989,NFL,New England Patriots,nwe
1988,NFL,New England Patriots,nwe
1987,NFL,New England Patriots,nwe
1986,NFL,New England Patriots,nwe
1985,NFL,New England Patriots,nwe
1984,NFL,New England Patriots,nwe
1983,NFL,New England Patriots,nwe
1982,NFL,New England Patriots,nwe
1981,NFL,New England Patriots,nwe
1980,NFL,New England Patriots,nwe
1979,NFL,New England Patriots,nwe
1978,NFL,New England Patriots,nwe
1977,NFL,New England Patriots,nwe
1976,NFL,New England Patriots,nwe
1975,NFL,New England Patriots,nwe
1974,NFL,New England Patriots,nwe
1973,NFL,New England Patriots,nwe
1972,NFL,New England Patriots,nwe
1971,NFL,New England Patriots,nwe
1970,NFL,Boston Patriots,nwe
1969,AFL,Boston Patriots,nwe
1968,AFL,Boston Patriots,nwe
1967,AFL,Boston Patriots,nwe
1966,AFL,Boston Patriots,nwe
1965,AFL,Boston Patriots,nwe
1964,AFL,Boston Patriots,nwe
1963,AFL,Boston Patriots,nwe
1962,AFL,Boston Patriots,nwe
1961,AFL,Boston Patriots,nwe
1960,AFL,Boston Patriots,nwe
1926,NFL,Detroit Panthers,dpn
1925,NFL,Detroit Panthers,dpn
1932,NFL,Staten Island Stapletons,sis
1931,NFL,Staten Island Stapletons,sis
1930,NFL,Staten Island Stapletons,sis
1929,NFL,Staten Island Stapletons,sis
2015,NFL,New York Jets,nyj
2014,NFL,New York Jets,nyj
2013,NFL,New York Jets,nyj
2012,NFL,New York Jets,nyj
2011,NFL,New York Jets,nyj
2010,NFL,New York Jets,nyj
2009,NFL,New York Jets,nyj
2008,NFL,New York Jets,nyj
2007,NFL,New York Jets,nyj
2006,NFL,New York Jets,nyj
2005,NFL,New York Jets,nyj
2004,NFL,New York Jets,nyj
2003,NFL,New York Jets,nyj
2002,NFL,New York Jets,nyj
2001,NFL,New York Jets,nyj
2000,NFL,New York Jets,nyj
1999,NFL,New York Jets,nyj
1998,NFL,New York Jets,nyj
1997,NFL,New York Jets,nyj
1996,NFL,New York Jets,nyj
1995,NFL,New York Jets,nyj
1994,NFL,New York Jets,nyj
1993,NFL,New York Jets,nyj
1992,NFL,New York Jets,nyj
1991,NFL,New York Jets,nyj
1990,NFL,New York Jets,nyj
1989,NFL,New York Jets,nyj
1988,NFL,New York Jets,nyj
1987,NFL,New York Jets,nyj
1986,NFL,New York Jets,nyj
1985,NFL,New York Jets,nyj
1984,NFL,New York Jets,nyj
1983,NFL,New York Jets,nyj
1982,NFL,New York Jets,nyj
1981,NFL,New York Jets,nyj
1980,NFL,New York Jets,nyj
1979,NFL,New York Jets,nyj
1978,NFL,New York Jets,nyj
1977,NFL,New York Jets,nyj
1976,NFL,New York Jets,nyj
1975,NFL,New York Jets,nyj
1974,NFL,New York Jets,nyj
1973,NFL,New York Jets,nyj
1972,NFL,New York Jets,nyj
1971,NFL,New York Jets,nyj
1970,NFL,New York Jets,nyj
1969,AFL,New York Jets,nyj
1968,AFL,New York Jets,nyj
1967,AFL,New York Jets,nyj
1966,AFL,New York Jets,nyj
1965,AFL,New York Jets,nyj
1964,AFL,New York Jets,nyj
1963,AFL,New York Jets,nyj
1962,AFL,New York Titans,nyj
1961,AFL,New York Titans,nyj
1960,AFL,New York Titans,nyj
1931,NFL,Providence Steam Roller,prv
1930,NFL,Providence Steam Roller,prv
1929,NFL,Providence Steam Roller,prv
1928,NFL,Providence Steam Roller,prv
1927,NFL,Providence Steam Roller,prv
1926,NFL,Providence Steam Roller,prv
1925,NFL,Providence Steam Roller,prv
1949,AAFC,Chicago Hornets,cra
1948,AAFC,Chicago Rockets,cra
1947,AAFC,Chicago Rockets,cra
